user_id,order_id,time,description,product_id,product_name,amount,price
LIK46JYS,XBH011609/044,2016-09-22,Xuất bán T9/044- LTINV3814- ngày ETD 26/9/2016 -LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK48JYS,XBH011609/040,2016-09-22,Xuất bán T9/040- LTINV1623- ngày ETD 26/9/2016 -LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/041,2016-09-22,Xuất bán T9/041- LTINV1622- ngày ETD 26/9/2016 -LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK45JYS,XBH011609/037,2016-09-21,Xuất bán T9/037- LTINV3049- ngày ETD 26/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK45JYS,XBH011609/036,2016-09-21,Xuất bán T9/036- LTINV3048- ngày ETD 26/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK45JYS,XBH011609/035,2016-09-21,Xuất bán T9/035- LTINV3047- ngày ETD 26/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
SSI31SSI,XBH011609/033,2016-09-20,Xuất bán T9/033- 007- ngày ETD 24/9/2016 -LSX 19,LTSSHOU3H270AK1,Southampton  sofa 3 seater_H270,14.0,1120.0
SSI31SSI,XBH011609/033,2016-09-20,Xuất bán T9/033- 007- ngày ETD 24/9/2016 -LSX 19,LTSCHE1H224AK1,Chelsea corner sofa corner_H224,13.0,780.0
SSI31SSI,XBH011609/033,2016-09-20,Xuất bán T9/033- 007- ngày ETD 24/9/2016 -LSX 19,LTSCHE2H224AK1,Chelsea corner sofa 2 seater_H224,13.0,1040.0
SSI31SSI,XBH011609/033,2016-09-20,Xuất bán T9/033- 007- ngày ETD 24/9/2016 -LSX 19,LTSCHE3H224AK1,Chelsea corner sofa 3 seater_H224,13.0,910.0
SSI31SSI,XBH011609/033,2016-09-20,Xuất bán T9/033- 007- ngày ETD 24/9/2016 -LSX 19,LTSSHOU2H270AK1,Southampton  sofa 2 seater_H270,14.0,980.0
SSI31SSI,XBH011609/033,2016-09-20,Xuất bán T9/033- 007- ngày ETD 24/9/2016 -LSX 19,LTSSOU1H270AK1,Southampton corner sofa_H270,14.0,840.0
