Mã KH,Số Phiếu Xuất,,Ngày Ghi Sổ,Diễn Giải,Mã Sản Phẩm,Tên Sản Phẩm,Số Lượng,Thành Tiền,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,20.00,960.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,15.00,"1,110.00",,,,,,,,,,,,
,,,,Xuất bán T12/038 - BRAUOFFE-OFENBURG - LSX 42 Total,,,534.00,"11,766.80",,,,,,,,,,,,
,XBH011612/110,,12/31/16 0:00,Xuất bán T12/110 - RUTKLA KLAGENFURT - LSX 42,LTBDIA1F268SCA1,Diana Lounger_F268,18.00,"1,440.00",,,,,,,,,,,,
,,,,,LTCBIR1F274SPA1,Birkemose (Jubi) Chair _F274,33.00,524.70,,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,30.00,"1,230.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,80.00,"1,776.00",,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,108.00,"1,738.80",,,,,,,,,,,,
,,,,,LTCVIS1F268SP1,Visby chair F268,68.00,836.40,,,,,,,,,,,,
,,,,,LTLDIN11160ACK1,Dinning Sofa Set_Left_F1160,8.00,472.00,,,,,,,,,,,,
,,,,,LTMDIN21160ACA1,Dinning Sofa Set_Middle 2 seater w/o armrest_F1160,8.00,472.00,,,,,,,,,,,,
,,,,,LTMDIN21160ACA2,Dinning Sofa Set_Middle 2 seater w 1 armrest_F1160,8.00,472.00,,,,,,,,,,,,
,,,,,LTODIN11160ACA1,Dinning Sofa Set_Ottoman_F1160,8.00,472.00,,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,10.00,155.00,,,,,,,,,,,,
,,,,,LTTDIN11160ACK1,Dinning Sofa Set_Table_F1160,8.00,472.00,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,20.00,960.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,10.00,740.00,,,,,,,,,,,,
,,,,,LTRDIN11160ACK1,Dinning Sofa Set_Right_F1160,8.00,472.00,,,,,,,,,,,,
,,,,Xuất bán T12/110 - RUTKLA KLAGENFURT - LSX 42 Total,,,425.00,"12,232.90",,,,,,,,,,,,
,XBH011612/111,,12/31/16 0:00,Xuất bán T12/111 - GRUGAIM-GAIMERSHEIM NEWMŨM- MŨNSTER - LSX 42,LTBDIA1F268SCA1,Diana Lounger_F268,9.00,720.00,,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,34.00,"1,394.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,20.00,444.00,,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,6.00,244.50,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,6.00,244.50,,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,6.00,244.50,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,180.00,"2,898.00",,,,,,,,,,,,
,,,,,LTCVIS1F268SP1,Visby chair F268,7.00,86.10,,,,,,,,,,,,
,,,,,LTLDIN11160ACK1,Dinning Sofa Set_Left_F1160,12.00,849.60,,,,,,,,,,,,
,,,,,LTMDIN21160ACA1,Dinning Sofa Set_Middle 2 seater w/o armrest_F1160,12.00,849.60,,,,,,,,,,,,
